poiid,created_time,created_date,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094757D46BA2F94599,Fri Nov 08 00:09:34 +0800 2013,Fri Nov 08 2013,3642153697545220,[__] http://t.cn/zjAbpto,"<a href=""http://app.weibo.com/t/feed/4G3OlD"" rel=""nofollow"">____</a>",3009476344,__ __,22.54843,114.0873,22.54843,114.0873,Fast food,Food/Drinks
B2094653D268A1FF429A,Fri Nov 08 00:09:42 +0800 2013,Fri Nov 08 2013,3642153735297930,[__] http://t.cn/zjA3IkX,"<a href=""http://app.weibo.com/t/feed/4G3OlD"" rel=""nofollow"">____</a>",3009476344,__ __,22.5463,114.08747,22.5463,114.08747,Dessert,Food/Drinks
B2094652DB64A4FE419A,Fri Nov 08 00:10:09 +0800 2013,Fri Nov 08 2013,3642153852751030,__________________________________________ ____:http://t.cn/z8ANuS4,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2377357285,__ __,22.532909,114.086327,22.532909,114.086327,Residence,Home/Work
B2094653D26AA7F54199,Fri Nov 08 00:10:23 +0800 2013,Fri Nov 08 2013,3642153915494240,_______________________ ____:http://t.cn/zQeMaVt,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1858432382,__ __,22.53652,114.110382,22.53652,114.110382,Residence,Home/Work
B2094653D26EA7FC4093,Fri Nov 08 00:13:06 +0800 2013,Fri Nov 08 2013,3642154595221220,@_____________________________________________ ____:http://t.cn/z8Gvi7Q,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2812501711,__ __,22.548981,114.109749,22.548981,114.109749,Mallsá,Shopping
B2094757D06BA7F94992,Fri Nov 08 00:13:26 +0800 2013,Fri Nov 08 2013,3642154678936570,________ _!!  ___________[_][_] ____:http://t.cn/zQFKBS8,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1715879330,__ ___,22.53644,114.119713,22.53644,114.119713,Bakery,Food/Drinks
B2094757D16BA0F9429B,Fri Nov 08 00:14:03 +0800 2013,Fri Nov 08 2013,3642154830125950,__________________________________FUCK YOU_[__][_][__]___ ____:http://t.cn/z8ANfdK,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2821984357,__ __,22.522112,114.028961,22.522112,114.028961,Unknowná,Others
B2094750DA68A7FF409D,Fri Nov 08 00:15:06 +0800 2013,Fri Nov 08 2013,3642155099037910,_______ _________ _________[__][_] ____:http://t.cn/z8A9ok8,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1773129632,___ __,22.535496,114.019264,22.535496,114.019264,Travel,Travel
B2094653D268A7F94892,Fri Nov 08 00:15:26 +0800 2013,Fri Nov 08 2013,3642155182950450,_________________[/__]___________ ____:http://t.cn/z82vwrs,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2866262980,__ __,22.57762,114.103416,22.57762,114.103416,Residence,Home/Work
B2094652DB64ABF94492,Fri Nov 08 00:15:28 +0800 2013,Fri Nov 08 2013,3642155199262220,_________________________________  __#______#,"<a href=""http://app.weibo.com/t/feed/3KeSKP"" rel=""nofollow"">WeicoPro</a>",1658327225,__ __,22.52419,114.02465,22.52419,114.02465,Residence,Home/Work
B2094653D26AAAF5449B,Fri Nov 08 00:16:27 +0800 2013,Fri Nov 08 2013,3642155438362190,___ __________ __ ______________________[__][__][__][__]_______ _ _________________ ___________ ____:http://t.cn/z8Ae7wa,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3311748737,__ __,22.51815,113.91817,22.51815,113.91817,Bus Station,Travel
B2094653D26EA6FD409B,Fri Nov 08 00:16:29 +0800 2013,Fri Nov 08 2013,3642155455462290,__ ____:http://t.cn/zQk3qQe,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2638243254,__ __,22.56078,113.99087,22.56078,113.99087,Residence,Home/Work
B2094652DB65A0FD409E,Fri Nov 08 00:16:54 +0800 2013,Fri Nov 08 2013,3642155551619780,_____________________________[_][_]_______. ____:http://t.cn/z847rUV,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1742845550,__ __,22.5676,114.102859,22.5676,114.102859,Buildings,Others
B2094757DA6FA3F4449E,Fri Nov 08 00:16:56 +0800 2013,Fri Nov 08 2013,3642155559567480,__ _ ____:http://t.cn/z8Ablx6,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1824652442,__ __,22.544628,114.106184,22.544628,114.106184,Food,Food/Drinks
