poiid,created_time,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094652DB64A2F8469B,Fri Aug 30 09:52:05 +0800 2013,3616933155272320,________ ____:http://t.cn/z8Ly4e1,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2050113545,__ __,22.53713,114.055367,22.53713,114.055367,Buildings,Others
B2094653D26CA1FE4993,Fri Aug 30 10:00:17 +0800 2013,3616935214647860,________ ____:http://t.cn/z84qseg,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1866110984,__ __,22.57155,114.128471,22.57155,114.128471,Buildings,Others
B2094653D26FA6FC449E,Fri Aug 30 10:01:38 +0800 2013,3616935554475090,____________________________________________________________… ____:http://t.cn/z84526G,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2566786351,__,22.49321,113.924309,22.49321,113.924309,Residence,Home/Work
B2094652DB69A2FE459E,Fri Aug 30 10:02:01 +0800 2013,3616935655162970,_______________[___][___][___] ____:http://t.cn/zQDqJnm,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",1651690824,__ ___,22.58487,113.97894,22.58487,113.97894,Gymnasium,Outdoors/Sports
B2094653D268A7F9429B,Fri Aug 30 10:05:01 +0800 2013,3616936409890070,_____________ ____:http://t.cn/z82ZVFJ,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1863126851,__ __,22.58575,114.14398,22.58575,114.14398,Residence,Home/Work
B2094653D26EAAFE4599,Fri Aug 30 10:11:20 +0800 2013,3616937999389930,____________________________________________________________________________ ____:http://t.cn/z84tvmE,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1815926134,__ __,22.53824,114.11725,22.53824,114.11725,Residence,Home/Work
B2094653D26FA6FB469E,Fri Aug 30 10:19:50 +0800 2013,3616940134736300,_________________________[__]_25__________________________________________________26_________________________________________Love you all http://t.cn/z8L5gfZ,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1354409201,__ __,22.518539,113.934036,22.518539,113.934036,Buildings,Others
B2094653D26EA4F84399,Fri Aug 30 10:23:03 +0800 2013,3616940944170620,____ ____:http://t.cn/z82nnHj,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.55217,114.101181,22.55217,114.101181,Bakery,Food/Drinks
B2094653D26CA2FB469F,Fri Aug 30 10:23:25 +0800 2013,3616941036257070,______________[__][__][__]_______@crily ____ ____:http://t.cn/z84cw0K,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1677753152,__ __,22.54208,114.118492,22.54208,114.118492,Sea food,Food/Drinks
B2094653D26DA4F8499A,Fri Aug 30 10:23:53 +0800 2013,3616941157656640,____ ____:http://t.cn/z8LVfqk,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.54895,114.102272,22.54895,114.102272,Western restaurants,Food/Drinks
B2094653D26EA4F84399,Fri Aug 30 10:24:18 +0800 2013,3616941262538530,____ ____:http://t.cn/z82nnHj,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.55217,114.101181,22.55217,114.101181,Bakery,Food/Drinks
B2094653D26EA4F84399,Fri Aug 30 10:25:04 +0800 2013,3616941455511120,____ ____:http://t.cn/z82nnHj,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2169274373,__ __,22.55217,114.101181,22.55217,114.101181,Bakery,Food/Drinks
B2094757DA6AA1F8449F,Fri Aug 30 10:26:20 +0800 2013,3616941769949350,#_______#__________ ____:http://t.cn/z84cMF5,"<a href=""http://app.weibo.com/t/feed/4evpu3"" rel=""nofollow"">___Phone_S880i</a>",3623073787,__ __,22.54040144,113.9328,22.54040144,113.9328,IT company,Home/Work
B2094653D26BA2F9409C,Fri Aug 30 10:27:03 +0800 2013,3616941950534840,_____  _______ ____:http://t.cn/zQFOUEc,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1819906225,__ __,22.53408,113.99732,22.53408,113.99732,Bus Station,Travel
B2094757D065A2FE4592,Fri Aug 30 10:27:08 +0800 2013,3616941971730760,#____#________________ http://t.cn/z8LSIKV ____:http://t.cn/z82RGtV,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2727927810,__ __,22.55654907,114.1091232,22.55654907,114.1091232,Hostelsá,Travel
B2094653D26EA6F44198,Fri Aug 30 10:31:07 +0800 2013,3616942974107310,___:G_ys333_ ____:http://t.cn/z84cumM,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",3739819861,__ __,22.53639,114.03153,22.53639,114.03153,Companyá,Home/Work
B2094652DB65A5FD409B,Fri Aug 30 10:31:55 +0800 2013,3616943175241860,Thx_@Yeah___  ___________[good]______________'___~_.___________.____[___]._______.____~ ____:http://t.cn/z8AGJP3,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1768127845,__ __,22.554899,114.122353,22.554899,114.122353,Residence,Home/Work
B2094653D26DA3F9409C,Fri Aug 30 10:32:58 +0800 2013,3616943439531400,___:G_ys333_ __ __ ____:http://t.cn/z84cFrq,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",3739819861,__ __,22.53639,114.03153,22.53639,114.03153,Buildings,Others
B2094653D26DA3F9409C,Fri Aug 30 10:34:38 +0800 2013,3616943859278440,___:G_ys333___[___] ____:http://t.cn/z84cFrq,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",3739819861,__ __,22.53639,114.03153,22.53639,114.03153,Buildings,Others
B2094653D26DA3F9409C,Fri Aug 30 10:36:04 +0800 2013,3616944223993370,___:G_ys333_ ____:http://t.cn/z84cFrq,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",3739819861,__ __,22.53639,114.03153,22.53639,114.03153,Buildings,Others
B2094653D26DA3F9409C,Fri Aug 30 10:37:44 +0800 2013,3616944639320400,___:G_ys333_ _____[____][____][____] ____:http://t.cn/z84cFrq,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",3739819861,__ __,22.53639,114.03153,22.53639,114.03153,Buildings,Others
B2094652DB6AABF44699,Fri Aug 30 10:39:43 +0800 2013,3616945142738280,[__]______________________________________ ____:http://t.cn/z84UyaA,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1701747300,__ __,22.51259,113.92321,22.51259,113.92321,Korean cuisine,Food/Drinks
B2094653D26BA2F9419F,Fri Aug 30 10:41:38 +0800 2013,3616945624563550,___________________@___sHou__ ____:http://t.cn/z84cR7D,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3757133580,__,22.59334,114.11504,22.59334,114.11504,Bus Station,Travel
B2094652DB64A2F5449A,Fri Aug 30 10:49:59 +0800 2013,3616947730345590,[__][__][__] ____:http://t.cn/z8AEEMg,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1164759462,__ __,22.56054,114.09555,22.56054,114.09555,Buildings,Others
B2094652DB65A4FB4992,Fri Aug 30 10:51:15 +0800 2013,3616948040522200,____._____ ____:http://t.cn/z8UKCI5,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2561584190,__ __,22.56373,114.0998,22.56373,114.0998,Outdoors,Outdoors/Sports
B2094652DB65A3F5499A,Fri Aug 30 10:55:25 +0800 2013,3616949089301590,"_______,____…… ____:http://t.cn/z8ys0vX","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2668593011,__ __,22.5091,114.057068,22.5091,114.057068,Buildings,Others
B2094653D26FAAFC469F,Fri Aug 30 11:10:40 +0800 2013,3616952931135580,_____ ____ ____  ____:http://t.cn/z84Ma7h,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1869380782,__ __,22.567711,114.123642,22.567711,114.123642,Buildings,Others
B2094652DB64AAFF429C,Fri Aug 30 11:12:05 +0800 2013,3616953283873600,[__]_____[__] ____:http://t.cn/z84MpM2,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2865283534,__ __,22.53391,114.02729,22.53391,114.02729,Mallsá,Shopping
B2094757D06BA2F8469A,Fri Aug 30 11:18:47 +0800 2013,3616954969320090,http://t.cn/zQNpRqq #_______#_____ ____:http://t.cn/z82TOkY,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2733195007,__ __,22.549164,114.096359,22.549164,114.096359,Subway,Travel
B2094653D26CA4FD489A,Fri Aug 30 11:20:36 +0800 2013,3616955426940200,___  _____1_1______________ ____:http://t.cn/z8LLXZz,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2639550625,__ __,22.53451,114.067627,22.53451,114.067627,Five star hotels,Travel
B2094653D26DA3FB4298,Fri Aug 30 11:20:43 +0800 2013,3616955455517270,_______________     _____ http://t.cn/zHD5yWR,"<a href=""http://app.weibo.com/t/feed/2cFzGS"" rel=""nofollow"">___iPhone___</a>",1938777260,__ __,22.527121,114.042931,22.527121,114.042931,Companyá,Home/Work
B2094757D06AA6FC4999,Fri Aug 30 11:22:22 +0800 2013,3616955875388270,_____________________________________________________ ____:http://t.cn/z8ynpuE,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3196965445,__ __,22.53720093,113.983757,22.53720093,113.983757,Northwest cuisine,Food/Drinks
B2094757D165A5FE449C,Fri Aug 30 11:22:38 +0800 2013,3616955938777680,__-_______-_______ ____:http://t.cn/zQgFawc,"<a href=""http://app.weibo.com/t/feed/6tbQhM"" rel=""nofollow"">____2</a>",3214495977,__ __,22.57123008,114.1300674,22.57123008,114.1300674,Unknowná,Others
B2094757D164A4FD479C,Fri Aug 30 11:24:46 +0800 2013,3616956479620990,______________ ____:http://t.cn/z84xjTG,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2272970307,__ ___,22.53935051,114.1046829,22.53935051,114.1046829,Cantonese cuisine,Food/Drinks
B2094757D46EA6F4449F,Fri Aug 30 11:25:41 +0800 2013,3616956701495570,http://t.cn/zQNpRqq #_______# ____:http://t.cn/zQk5N4c,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3579811350,__,22.57728,114.12253,22.57728,114.12253,Othersá,Others
B2094652DB65AAF84792,Fri Aug 30 11:28:39 +0800 2013,3616957452359250,____[__] ____:http://t.cn/z84JvPA,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2913659872,__ ___,22.540892,114.126503,22.540892,114.126503,Fast food,Food/Drinks
B2094653D268A0F9499C,Fri Aug 30 11:30:27 +0800 2013,3616957905004720,__[__][__][__]@__1950__-____ @__1950__ ______________________________________________________[__][__] ____:http://t.cn/z84JL2d,"<a href=""http://app.weibo.com/t/feed/21gIP7"" rel=""nofollow"">__ Ascend Mate</a>",1843725155,__ __,22.58452,113.95324,22.58452,113.95324,Vocational schools,College/Organization
B2094653D26AAAFB499A,Fri Aug 30 11:34:55 +0800 2013,3616959029987060,____ ____:http://t.cn/z8y8OEx,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1869479407,__ __,22.56459,114.0476,22.56459,114.0476,Bus Station,Travel
B2094653D269AAFB409C,Fri Aug 30 11:39:16 +0800 2013,3616960128725720,________________________________…______#_________# ____:http://t.cn/z84JrhR,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2944266137,__ __,22.56343,114.11183,22.56343,114.11183,Outdoors,Outdoors/Sports
B2094652DB6AA3FC419F,Fri Aug 30 11:41:38 +0800 2013,3616960724170170,___________________________#_______# ____:http://t.cn/zQDbBHO,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1683145185,__ __,22.51381,113.91246,22.51381,113.91246,Residence,Home/Work
B2094752D46AA2FF449E,Fri Aug 30 11:45:13 +0800 2013,3616961621219150,_____a1 ____:http://t.cn/z84iI0P,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2730540277,__ __,22.493015,113.921028,22.493015,113.921028,Companyá,Home/Work
B2094652DB6BA3FE419C,Fri Aug 30 11:45:58 +0800 2013,3616961815053660,______________________@___________ @HELLO-EFFIE @_________  ____:http://t.cn/z8ycNGF,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1760688130,__ __,22.48807,113.921021,22.48807,113.921021,Restaurant,Food/Drinks
B2094653D26AAAFC419A,Fri Aug 30 11:48:06 +0800 2013,3616962347578300,_______________[_] ____:http://t.cn/z8273Cd,"<a href=""http://app.weibo.com/t/feed/4d8JpP"" rel=""nofollow"">__Galaxy SIII</a>",3650838710,__ __,22.55633,114.07294,22.55633,114.07294,Bus Station,Travel
B2094757D169AAFF4493,Fri Aug 30 11:48:28 +0800 2013,3616962443905030,[__][__]___~ ____:http://t.cn/z825mTU,"<a href=""http://app.weibo.com/t/feed/HwYuM"" rel=""nofollow"">____</a>",2704821042,__ __,22.5362823,114.1127104,22.5362823,114.1127104,Unknowná,Others
B2094757D76DA7FE4798,Fri Aug 30 11:54:16 +0800 2013,3616963907904330,@__ @____ @__1062 @____ @_______ @____ @________ ________ ____:http://t.cn/z8462ZG,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1917467907,__ __,22.568331,114.055191,22.568331,114.055191,Hotpot,Food/Drinks
B2094652DB65A0F8449B,Fri Aug 30 11:54:55 +0800 2013,3616964063124110,___________OL__[__][__][__] ____:http://t.cn/zQezK70,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",3196412137,__ __,22.56496,114.033928,22.56496,114.033928,Buildings,Others
B2094653D268A1F54993,Fri Aug 30 11:58:24 +0800 2013,3616964939461870,_______________________________[_] ____:http://t.cn/z846oqH,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2427537334,__ __,22.54409,114.09481,22.54409,114.09481,Residence,Home/Work
B2094757D16FA5FD4699,Fri Aug 30 11:58:41 +0800 2013,3616965010777590,#____# ____17_40__01052703864_______________“_______”_______“________________________________”_____________________________“________”________________,"<a href=""http://app.weibo.com/t/feed/1NnhMv"" rel=""nofollow"">___Lumia920</a>",1903001447,__ ___,22.54093095,113.9344385,22.54093095,113.9344385,Unknowná,Others
B2094652DB69A4FE4392,Fri Aug 30 11:59:22 +0800 2013,3616965182964260,__ http://t.cn/zHkPPHD,"<a href=""http://app.weibo.com/t/feed/Ynrq7"" rel=""nofollow"">WeiboPro</a>",2097120161,__ __,22.51634,113.92548,22.51634,113.92548,Buildings,Others
B2094653D26AA4F9489F,Fri Aug 30 12:01:51 +0800 2013,3616965812251650,_______________________[__][__][__]_ ____:http://t.cn/z846nZO,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1797634917,__ __,22.55201,114.13223,22.55201,114.13223,Bus Station,Travel
B2094752D26BA4FA409E,Fri Aug 30 12:07:08 +0800 2013,3616967137241710,Friday is here...eventually[_______] ____:http://t.cn/z8A8HNP,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2282993717,__ __,22.533899,114.053581,22.533899,114.053581,Food,Food/Drinks
